##=====================---------------------------------=======================#
##===----                  pre-anniversary wordsigns                    ----===#
##=====================---------------------------------=======================#
#  from gregg.angelfishy.net
#    word signs summaried in a table from the pre-anniversary manual
#    also from pre-aniversary reporting book

# english   = dictionary spelling
# gregg     = specialized gregg outline spelling
# rf        = reference work
#    pm     : pre-anniversary manual
#    pr     : pre-anniversary reporters manual
#    sd     : simplified dictionary
# pgs       = page in reference work
# t         = w=wordsign, p=phrase, -=normal
# d         = difficulty to write (simple, moderate, hard)
# s         = simplification (*=made harder by simplified, -=consistent)
# -
# -
# co        = commonality (01=top100, 05=top500, 10=top1000, 50=top5000)
#

#-------english-------- | --------gregg--------- | rf pgs t |  d  s  -  -  co  |
skill                   | >.s.k.l                | pb 082 - |  s  *  -  -  --  |



skill                   | >.s.k.l                | pm 082 - |  s  *  -  -  --  |
struck                  | >.s.t.r.k              | pm 082 - |  s  *  -  -  --  |
secure                  | >.s.e.k.r              | pm 082 - |  m  -  -  -  --  |
scarce                  | >.s.k.r.z              | pm 082 - |  s  *  -  -  --  |
stop                    | >.s.t.p                | pm 082 - |  s  *  -  -  --  |


actual                  | >.a.k.t                | pr 083 w |  s  -  -  -  --  |
against                 | >.a.g                  | pr 083 w |  s  -  -  -  --  |
allegation              | >.A.l.sh               | pr 083 w |  s  -  -  -  --  |
appeal                  | >.A.p                  | pr 083 w |  s  -  -  -  --  |
appellant               | >.A.p.>.nt             | pr 083 w |  -  -  -  -  --  |
appellee                | >.A.p.E                | pr 083 w |  -  -  -  -  --  |
assault                 | >.A.z.u.t              | pr 083 w |  -  -  -  -  --  |




a                       | >                      | pw 000 w |  -  -  -  -  --  |
an                      | >                      | pw 000 w |  -  -  -  -  --  |
about                   | >.A.b                  | pw 000 w |  -  -  -  -  --  |
above                   | >.A.b.u                | pw 000 w |  -  -  -  -  --  |
accept                  | >.a.k.z                | pw 000 w |  -  -  -  -  --  |
acceptance              | >.a.k.z                | pw 000 w |  -  -  -  -  --  |
accord                  | >.a.k.r                | pw 000 w |  -  -  -  -  --  |
accordance              | >.a.k.r.z              | pw 000 w |  -  -  -  -  --  |
acknowledge             | >.a.k                  | pw 000 w |  -  -  -  -  --  |
acquaint                | >.a.k.a                | pw 000 w |  -  -  -  -  --  |
acquaintance            | >.a.k.a                | pw 000 w |  -  -  -  -  --  |
advantage               | >.a.v                  | pw 000 w |  -  -  -  -  --  |
advertise               | >.a.v.t                | pw 000 w |  -  -  -  -  --  |
after                   | >.a.f                  | pw 000 w |  -  -  -  -  --  |
again                   | >.a.g.n                | pw 000 w |  -  -  -  -  --  |

agent                   | >.a.j                  | pw 000 w |  -  -  -  -  --  |
agree                   | >.a                    | pw 000 w |  -  -  -  -  --  |
all                     | >.o                    | pw 000 w |  -  -  -  -  --  |
allow                   | >.a.l                  | pw 000 w |  -  -  -  -  --  |
always                  | >.o.l.z                | pw 000 w |  -  -  -  -  --  |
am                      | >.m                    | pw 000 w |  -  -  -  -  --  |
more                    | >.m                    | pw 000 w |  -  -  -  -  --  |
and                     | >.nd                   | pw 000 w |  -  -  -  -  --  |
end                     | >.nd                   | pw 000 w |  -  -  -  -  --  |
