Thu Jan 14 20:42:22 2010 |                      |                                | 174 | (000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,001)(000,001)(000,001)(001,001)(001,002)(002,002)(002,003)(003,004)(004,004)(004,004)(005,004)(006,004)(006,004)(007,004)(007,004)(008,004)(008,004)(009,004)(009,004)(010,005)(011,005)(012,005)(012,005)(013,005)(014,005)(015,006)(016,006)(017,006)(018,006)(019,007)(020,007)(021,007)(021,007)(022,007)(023,007)(024,006)(024,006)(025,005)(026,004)(027,004)(028,003)(029,002)(030,002)(030,001)(031,001)(032,001)(032,000)(033,000)(034,-01)(034,-01)(034,-02)(034,-03)(034,-04)(034,-05)(034,-06)(034,-08)(034,-09)(034,-11)(034,-12)(033,-13)(033,-13)(033,-14)(033,-15)(032,-15)(032,-16)(031,-17)(031,-17)(030,-17)(029,-17)(029,-18)(028,-18)(027,-18)(026,-19)(025,-19)(025,-19)(024,-20)(023,-20)(023,-20)(022,-20)(021,-20)(021,-20)(020,-20)(020,-20)(019,-19)(019,-19)(018,-18)(018,-17)(018,-17)(018,-16)(018,-16)(018,-15)(017,-15)(017,-14)(017,-13)(017,-13)(017,-12)(017,-12)(016,-11)(016,-11)(016,-10)(016,-09)(016,-09)(015,-08)(015,-07)(015,-06)(015,-05)(015,-04)(015,-03)(016,-02)(016,000)(016,001)(017,002)(017,003)(018,004)(018,005)(019,005)(020,006)(020,007)(021,007)(022,008)(023,009)(024,009)(025,010)(026,010)(028,011)(029,011)(031,011)(032,012)(034,012)(035,012)(037,012)(038,012)(039,012)(040,011)(042,010)(043,010)(044,009)(046,008)(047,007)(049,006)(050,005)(051,004)(053,003)(054,002)(054,001)(055,001)(056,000)(056,000)(057,-01)(057,-01)(057,-01)(057,-01)(057,000)(057,000)(058,001)(058,002)(058,003)(058,003)(058,003) |
Thu Jan 14 20:42:36 2010 |                      |                                | 166 | (000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,-01)(000,-01)(000,-01)(000,-01)(000,-02)(000,-03)(000,-03)(000,-04)(001,-05)(001,-05)(001,-06)(002,-07)(002,-07)(002,-08)(002,-08)(002,-09)(003,-10)(003,-10)(004,-11)(004,-11)(005,-12)(006,-13)(007,-13)(008,-14)(009,-15)(011,-15)(012,-16)(013,-16)(015,-16)(016,-17)(017,-17)(019,-17)(020,-17)(021,-17)(023,-17)(024,-16)(026,-16)(027,-16)(029,-15)(030,-15)(032,-14)(034,-13)(036,-13)(037,-12)(039,-11)(041,-10)(042,-09)(044,-07)(045,-06)(046,-04)(047,-02)(048,000)(048,002)(048,004)(049,005)(049,007)(049,008)(048,010)(048,011)(047,012)(047,013)(046,014)(046,015)(045,016)(044,016)(044,017)(043,018)(043,019)(042,019)(042,019)(041,019)(041,020)(040,020)(040,020)(039,020)(039,020)(038,020)(037,020)(037,019)(036,019)(035,018)(034,018)(034,017)(033,016)(032,016)(031,015)(031,014)(030,013)(030,013)(029,012)(029,011)(029,010)(029,010)(029,009)(029,008)(029,008)(030,007)(030,006)(031,005)(031,004)(032,004)(033,003)(034,002)(034,001)(035,000)(036,-01)(037,-02)(037,-03)(038,-03)(039,-04)(040,-05)(041,-05)(043,-06)(044,-06)(046,-07)(047,-07)(049,-07)(051,-08)(053,-08)(055,-08)(056,-08)(058,-08)(060,-08)(062,-07)(064,-07)(065,-06)(067,-05)(069,-04)(070,-03)(072,-02)(073,000)(074,001)(075,002)(076,003)(077,003)(078,004)(079,005)(079,005)(080,006)(080,006)(080,006)(080,006)(080,006)(080,005)(080,005)(080,005)(081,004)(081,004)(081,004)(081,004)(081,004) |
Thu Jan 14 20:42:50 2010 |                      |                                | 162 | (000,000)(000,000)(000,000)(000,000)(000,-01)(000,-01)(000,-02)(000,-02)(001,-02)(001,-02)(001,-03)(001,-03)(001,-04)(001,-04)(001,-04)(001,-04)(001,-04)(001,-04)(002,-05)(002,-05)(002,-05)(003,-06)(003,-06)(004,-07)(004,-07)(005,-07)(006,-07)(006,-08)(007,-08)(008,-08)(009,-08)(010,-08)(011,-08)(012,-08)(013,-08)(013,-08)(014,-08)(015,-07)(016,-07)(017,-07)(018,-07)(019,-07)(020,-06)(020,-06)(021,-05)(022,-05)(023,-04)(023,-03)(024,-03)(024,-02)(025,-01)(026,-01)(026,000)(027,000)(027,001)(028,002)(028,002)(028,003)(029,004)(029,004)(029,005)(029,006)(029,007)(029,008)(029,008)(029,009)(029,010)(028,011)(028,011)(028,012)(027,012)(027,013)(026,013)(026,013)(025,014)(024,014)(024,014)(023,014)(023,014)(022,014)(022,014)(021,014)(020,014)(020,014)(019,014)(019,014)(018,014)(018,014)(017,014)(017,014)(016,014)(015,013)(015,013)(014,013)(013,012)(013,012)(012,012)(012,011)(011,010)(011,010)(011,009)(010,009)(010,008)(010,007)(010,007)(010,006)(010,006)(010,005)(010,004)(010,004)(010,003)(010,003)(010,002)(011,001)(011,001)(011,000)(012,000)(012,-01)(013,-01)(013,-02)(014,-02)(015,-03)(016,-03)(016,-03)(017,-03)(018,-03)(019,-03)(020,-02)(020,-02)(021,-01)(022,-01)(023,000)(024,001)(025,002)(026,003)(027,004)(028,005)(029,006)(030,007)(032,008)(033,009)(034,010)(035,011)(036,012)(037,013)(038,014)(038,015)(039,016)(040,016)(040,016)(040,017)(040,017)(040,017)(040,017)(041,016)(041,016)(041,016)(041,016)(041,016)(041,016)(041,015)(041,015) |
Thu Jan 14 20:43:12 2010 | >.l.E.t              | little                         | 133 | (000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,-01)(000,-01)(000,-01)(000,-01)(000,-01)(000,-02)(000,-02)(000,-03)(000,-03)(001,-03)(001,-03)(002,-04)(002,-05)(002,-05)(003,-06)(003,-06)(004,-07)(004,-07)(004,-08)(005,-08)(005,-09)(006,-09)(006,-10)(007,-10)(008,-10)(008,-11)(009,-11)(010,-11)(011,-12)(012,-12)(014,-12)(015,-12)(016,-12)(017,-12)(019,-12)(020,-12)(021,-12)(023,-11)(024,-10)(025,-10)(026,-10)(027,-09)(028,-09)(029,-08)(030,-07)(030,-07)(031,-06)(032,-05)(033,-05)(034,-04)(035,-03)(035,-03)(036,-02)(037,-01)(038,000)(038,001)(039,001)(040,002)(040,003)(041,004)(041,004)(041,005)(042,006)(042,006)(042,007)(042,007)(042,008)(042,008)(042,009)(041,009)(040,010)(040,010)(039,011)(038,011)(037,011)(037,011)(036,011)(035,011)(035,010)(034,009)(033,008)(033,008)(032,007)(032,006)(032,006)(032,005)(032,004)(032,004)(032,003)(032,002)(032,002)(033,001)(033,001)(034,001)(035,001)(036,001)(036,002)(037,002)(038,003)(039,003)(040,004)(041,004)(042,005)(043,006)(044,007)(045,007)(046,008)(047,009)(047,010)(048,010)(049,011)(049,012)(050,012)(050,013)(050,013)(050,013)(050,013)(050,013)(050,013)(050,013)(050,013)(051,013)(051,013)(051,013)(051,013)(051,013) |
Thu Jan 14 20:43:45 2010 | >.f.a.v              | na                             | 186 | (000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(001,000)(001,000)(001,000)(001,000)(002,000)(002,000)(002,000)(002,000)(002,000)(003,-01)(003,-01)(003,-01)(003,-01)(004,-02)(004,-02)(004,-03)(004,-03)(005,-04)(005,-04)(006,-05)(006,-05)(006,-06)(007,-07)(007,-08)(007,-08)(007,-09)(007,-10)(007,-11)(008,-12)(008,-13)(008,-13)(008,-14)(008,-15)(007,-16)(007,-17)(007,-17)(007,-18)(006,-19)(006,-19)(006,-20)(005,-20)(005,-21)(004,-21)(004,-22)(003,-22)(002,-23)(002,-24)(001,-24)(000,-25)(-01,-26)(-02,-26)(-03,-27)(-04,-27)(-05,-28)(-05,-28)(-06,-29)(-07,-29)(-08,-30)(-08,-30)(-09,-30)(-10,-30)(-10,-31)(-11,-31)(-11,-31)(-12,-31)(-13,-31)(-14,-31)(-14,-31)(-14,-30)(-15,-30)(-16,-30)(-16,-29)(-17,-29)(-17,-28)(-18,-27)(-18,-27)(-18,-26)(-19,-26)(-19,-25)(-19,-24)(-19,-24)(-20,-23)(-20,-22)(-20,-22)(-20,-21)(-20,-21)(-20,-20)(-19,-19)(-19,-18)(-19,-18)(-19,-17)(-18,-17)(-18,-16)(-18,-15)(-17,-15)(-17,-14)(-16,-14)(-16,-13)(-15,-13)(-14,-13)(-14,-12)(-13,-12)(-13,-12)(-12,-12)(-12,-12)(-11,-12)(-11,-12)(-10,-12)(-10,-12)(-09,-12)(-09,-12)(-08,-12)(-07,-13)(-07,-13)(-06,-13)(-06,-13)(-05,-14)(-05,-14)(-04,-14)(-04,-15)(-03,-15)(-02,-15)(-02,-15)(-01,-16)(-01,-16)(000,-17)(000,-17)(001,-18)(001,-18)(002,-19)(002,-19)(002,-20)(003,-21)(003,-22)(004,-23)(004,-24)(004,-25)(004,-26)(004,-28)(005,-29)(005,-30)(005,-31)(005,-33)(004,-34)(004,-36)(004,-37)(003,-39)(003,-40)(002,-42)(001,-44)(000,-46)(-01,-48)(-02,-50)(-03,-52)(-05,-54)(-06,-56)(-08,-58)(-10,-60)(-12,-62)(-13,-63)(-15,-65)(-17,-66)(-18,-67)(-19,-68)(-20,-69)(-21,-70)(-22,-70)(-22,-70)(-22,-70)(-22,-70)(-22,-70)(-22,-70)(-22,-70)(-21,-70)(-21,-70)(-21,-69)(-21,-68)(-21,-67)(-21,-67) |
Thu Jan 14 20:44:00 2010 | >.v.a.f              | na                             | 171 | (000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(001,000)(001,000)(001,000)(001,-01)(001,-01)(001,-01)(002,-02)(002,-02)(002,-03)(003,-03)(003,-04)(003,-04)(004,-05)(004,-06)(005,-07)(005,-08)(006,-09)(007,-10)(007,-11)(008,-12)(009,-13)(009,-14)(010,-15)(010,-16)(011,-17)(012,-18)(012,-19)(013,-20)(013,-21)(014,-22)(014,-23)(014,-25)(015,-26)(015,-27)(015,-29)(015,-30)(015,-32)(015,-33)(014,-35)(014,-36)(013,-38)(012,-40)(012,-41)(011,-43)(011,-44)(010,-46)(009,-47)(009,-48)(008,-49)(008,-50)(007,-51)(006,-51)(006,-52)(005,-52)(004,-53)(003,-53)(002,-54)(001,-54)(000,-55)(-01,-55)(-02,-56)(-04,-56)(-04,-56)(-05,-56)(-06,-57)(-07,-57)(-08,-57)(-08,-57)(-09,-56)(-09,-56)(-10,-55)(-10,-55)(-11,-54)(-11,-53)(-12,-53)(-12,-52)(-12,-51)(-13,-50)(-13,-49)(-14,-49)(-14,-48)(-14,-47)(-15,-47)(-15,-46)(-15,-45)(-15,-45)(-15,-44)(-15,-44)(-15,-43)(-15,-43)(-15,-42)(-15,-42)(-15,-41)(-15,-40)(-14,-40)(-14,-39)(-13,-38)(-12,-37)(-11,-36)(-10,-36)(-09,-35)(-08,-34)(-07,-34)(-07,-34)(-06,-33)(-05,-33)(-04,-33)(-03,-33)(-03,-33)(-02,-33)(-01,-33)(000,-33)(001,-33)(002,-33)(003,-34)(003,-35)(004,-35)(005,-36)(006,-37)(006,-38)(007,-39)(008,-40)(008,-41)(009,-42)(010,-44)(010,-45)(010,-46)(011,-47)(011,-49)(011,-50)(011,-51)(011,-53)(011,-54)(010,-56)(010,-57)(010,-58)(009,-60)(009,-61)(008,-62)(007,-63)(007,-64)(006,-64)(005,-65)(005,-65)(004,-66)(004,-66)(003,-66)(003,-66)(003,-66)(003,-66)(003,-66)(003,-66)(003,-66)(003,-66)(003,-65)(003,-65)(003,-64)(003,-64) |
Thu Jan 14 20:44:35 2010 |                      |                                | 212 | (000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,001)(000,001)(000,001)(000,001)(000,002)(000,002)(001,002)(001,002)(001,003)(002,004)(002,004)(002,005)(003,005)(003,006)(004,006)(005,006)(005,007)(006,007)(007,007)(007,007)(008,007)(009,008)(009,008)(010,008)(011,008)(011,008)(012,008)(012,008)(013,008)(014,008)(014,008)(015,008)(015,008)(016,008)(017,008)(017,008)(018,008)(018,008)(019,008)(019,008)(020,007)(020,007)(021,006)(021,006)(022,005)(022,005)(022,004)(022,004)(023,003)(023,003)(023,002)(023,001)(023,001)(024,000)(024,-01)(024,-02)(024,-03)(025,-04)(025,-04)(025,-05)(025,-06)(026,-07)(026,-07)(026,-08)(027,-08)(027,-09)(027,-09)(028,-10)(028,-11)(029,-11)(030,-12)(030,-13)(031,-13)(031,-14)(032,-15)(033,-16)(033,-17)(034,-17)(034,-18)(035,-18)(036,-19)(036,-19)(037,-19)(038,-19)(038,-19)(039,-19)(040,-19)(041,-18)(042,-18)(043,-17)(044,-17)(045,-16)(045,-15)(046,-14)(047,-14)(048,-13)(048,-12)(049,-11)(049,-10)(049,-10)(049,-09)(049,-08)(049,-07)(049,-07)(049,-06)(048,-05)(048,-04)(048,-03)(047,-03)(046,-02)(046,-01)(045,-01)(045,000)(044,001)(043,001)(043,002)(042,002)(041,002)(040,003)(039,003)(038,004)(037,004)(036,004)(035,004)(034,004)(034,005)(033,005)(032,005)(032,005)(031,005)(031,005)(030,005)(030,004)(029,004)(029,003)(028,002)(028,002)(028,001)(027,001)(027,000)(027,-01)(027,-01)(027,-02)(027,-03)(027,-04)(027,-05)(028,-06)(028,-07)(028,-07)(029,-08)(029,-09)(029,-10)(030,-11)(030,-12)(031,-12)(031,-13)(032,-14)(032,-15)(033,-15)(034,-16)(034,-17)(035,-17)(036,-18)(037,-18)(038,-18)(040,-18)(041,-19)(042,-19)(043,-20)(045,-20)(046,-20)(047,-20)(049,-20)(050,-20)(051,-19)(053,-19)(054,-18)(056,-17)(057,-16)(059,-15)(060,-13)(062,-12)(063,-11)(065,-10)(066,-09)(067,-08)(068,-08)(069,-07)(069,-07)(070,-06)(069,-06)(069,-06)(069,-07)(069,-07)(069,-07)(070,-07)(070,-07)(070,-07)(070,-07)(070,-07)(070,-07)(070,-07)(070,-07) |
Thu Jan 14 20:44:50 2010 |                      |                                | 213 | (000,000)(000,000)(000,000)(000,000)(001,001)(001,001)(001,001)(001,001)(001,002)(002,003)(002,003)(002,004)(002,004)(003,005)(003,005)(003,006)(003,006)(004,007)(004,008)(004,008)(005,009)(005,009)(006,010)(006,011)(007,011)(007,011)(008,012)(008,012)(009,012)(009,012)(010,012)(010,012)(011,013)(011,013)(012,013)(012,013)(013,013)(013,013)(014,014)(014,014)(015,014)(016,014)(016,014)(017,013)(018,013)(018,012)(019,011)(019,011)(020,010)(021,009)(021,009)(022,008)(022,007)(023,007)(023,006)(024,005)(024,005)(024,004)(025,003)(026,002)(026,001)(026,001)(027,000)(027,000)(028,-01)(028,-01)(029,-02)(029,-02)(030,-03)(030,-03)(031,-04)(031,-04)(032,-05)(032,-05)(033,-05)(033,-05)(034,-05)(035,-05)(035,-05)(036,-05)(037,-04)(037,-04)(038,-04)(038,-03)(039,-02)(040,-02)(040,-01)(041,000)(041,000)(042,001)(042,002)(042,003)(043,003)(043,004)(043,005)(043,005)(044,006)(044,007)(044,007)(044,008)(044,009)(044,009)(044,010)(044,011)(044,011)(044,012)(043,012)(043,013)(043,013)(043,014)(042,014)(042,015)(041,015)(041,015)(040,016)(040,016)(039,016)(038,016)(038,016)(037,016)(036,016)(036,016)(035,016)(035,016)(034,016)(033,016)(033,015)(032,015)(032,015)(031,014)(031,014)(030,014)(030,014)(029,013)(029,013)(028,012)(028,012)(027,012)(027,011)(026,011)(026,010)(026,010)(025,009)(025,009)(025,008)(025,008)(025,007)(025,006)(025,006)(025,005)(025,004)(025,004)(025,003)(025,002)(025,001)(025,001)(025,000)(026,-01)(026,-01)(026,-02)(026,-03)(027,-03)(027,-04)(028,-05)(028,-05)(029,-06)(030,-06)(030,-07)(031,-08)(031,-08)(032,-09)(033,-09)(034,-10)(035,-10)(036,-11)(037,-11)(038,-11)(039,-11)(041,-12)(042,-12)(043,-12)(044,-12)(045,-12)(047,-11)(048,-11)(049,-11)(050,-10)(051,-10)(053,-09)(054,-08)(055,-07)(057,-06)(058,-05)(059,-04)(060,-03)(061,-02)(062,-01)(063,-01)(063,000)(064,000)(064,001)(063,001)(063,001)(063,001)(063,001)(063,000)(063,000)(063,000)(063,000)(064,000)(064,000)(064,000)(064,000) |
Thu Jan 14 20:45:16 2010 |                      |                                | 175 | (000,000)(000,000)(000,000)(000,001)(000,001)(000,001)(000,001)(000,001)(000,001)(000,002)(000,002)(000,002)(000,002)(000,003)(000,003)(000,004)(001,005)(001,005)(001,006)(001,006)(002,007)(003,008)(003,008)(004,009)(005,009)(005,009)(006,010)(007,010)(008,010)(009,011)(010,011)(011,011)(012,012)(013,012)(014,012)(015,012)(016,012)(017,012)(018,012)(019,012)(019,012)(020,012)(021,012)(021,012)(022,012)(022,012)(023,011)(024,011)(024,010)(025,009)(025,009)(025,008)(025,007)(025,006)(025,006)(025,005)(026,004)(026,004)(026,003)(026,002)(026,002)(026,001)(026,000)(026,000)(026,-01)(026,-01)(027,-02)(027,-02)(027,-03)(028,-03)(028,-04)(029,-05)(030,-05)(031,-06)(031,-06)(032,-06)(033,-07)(034,-07)(035,-07)(035,-07)(036,-07)(037,-07)(038,-07)(039,-06)(040,-06)(040,-05)(041,-05)(042,-04)(042,-03)(043,-03)(044,-02)(044,-01)(044,000)(045,001)(045,001)(045,002)(045,003)(045,004)(045,004)(045,005)(045,005)(045,006)(045,006)(045,007)(044,008)(044,008)(044,008)(043,009)(042,010)(042,010)(041,010)(041,011)(040,011)(039,011)(039,011)(038,011)(037,012)(036,012)(035,012)(035,011)(034,011)(033,011)(032,010)(031,010)(030,009)(029,009)(028,008)(027,007)(026,006)(025,005)(024,005)(023,004)(022,003)(022,001)(021,000)(020,-01)(020,-02)(019,-03)(019,-05)(018,-06)(018,-07)(017,-09)(017,-10)(017,-12)(017,-13)(017,-15)(017,-16)(017,-17)(017,-19)(017,-20)(017,-22)(018,-23)(018,-24)(019,-26)(019,-27)(020,-28)(021,-29)(022,-30)(023,-31)(023,-31)(024,-32)(025,-32)(026,-32)(027,-32)(027,-32)(028,-32)(028,-32)(028,-32)(028,-32)(028,-32)(028,-32)(027,-32)(026,-33)(026,-33)(026,-33) |
Thu Jan 14 20:46:07 2010 |                      |                                | 114 | (000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(001,000)(001,000)(001,001)(002,001)(002,001)(003,002)(003,002)(004,002)(005,002)(006,002)(006,003)(007,003)(008,003)(009,003)(011,003)(012,004)(013,004)(014,004)(016,004)(017,004)(018,004)(020,004)(021,004)(023,004)(024,004)(026,004)(027,004)(029,004)(030,004)(032,004)(033,004)(035,004)(036,004)(037,004)(038,004)(039,004)(040,003)(041,003)(042,002)(042,001)(043,000)(043,-01)(043,-02)(043,-03)(044,-04)(044,-05)(044,-06)(044,-07)(043,-07)(043,-08)(042,-09)(041,-10)(041,-11)(040,-13)(038,-14)(037,-16)(036,-17)(035,-19)(034,-20)(033,-21)(032,-22)(031,-23)(030,-24)(030,-24)(029,-24)(029,-24)(028,-23)(027,-22)(027,-21)(026,-20)(025,-19)(024,-17)(024,-16)(023,-15)(023,-14)(022,-13)(022,-12)(022,-12)(022,-11)(022,-11)(023,-10)(023,-09)(024,-08)(024,-07)(025,-06)(026,-05)(026,-04)(027,-03)(028,-03)(028,-02)(028,-01)(029,-01)(029,-01)(029,-01)(029,-01)(029,-01)(029,-02)(028,-03)(028,-04)(028,-04) |
