Tue Dec 22 15:37:58 2009 |                      | 101 | (006,003)(006,003)(006,003)(006,003)(006,003)(006,003)(006,003)(006,003)(006,003)(006,003)(006,003)(006,003)(006,003)(006,003)(005,003)(005,003)(005,003)(005,002)(004,001)(003,001)(003,000)(002,000)(002,-01)(001,-02)(000,-03)(-01,-04)(-02,-05)(-03,-06)(-04,-07)(-05,-09)(-05,-10)(-06,-12)(-07,-13)(-08,-14)(-08,-16)(-09,-18)(-09,-19)(-09,-21)(-08,-22)(-08,-24)(-07,-25)(-05,-26)(-04,-27)(-03,-28)(-01,-29)(001,-30)(002,-30)(004,-30)(005,-30)(006,-30)(008,-29)(009,-29)(010,-28)(011,-27)(011,-26)(012,-25)(012,-24)(012,-23)(012,-23)(012,-22)(011,-22)(011,-22)(011,-23)(011,-24)(012,-24)(012,-25)(013,-26)(013,-27)(014,-28)(015,-29)(016,-31)(017,-32)(018,-33)(019,-34)(021,-35)(022,-35)(023,-36)(025,-36)(026,-36)(028,-36)(029,-35)(031,-35)(032,-34)(033,-33)(034,-33)(035,-32)(035,-32)(035,-32)(035,-31)(035,-30)(035,-29)(034,-29)(033,-28)(033,-28)(032,-28)(032,-28)(031,-27)(031,-27)(031,-27)(031,-27)(031,-27) |
Tue Dec 22 15:55:09 2009 |                      | 109 | (001,001)(001,001)(001,000)(001,000)(001,000)(001,000)(001,000)(001,000)(001,000)(001,000)(001,000)(001,-01)(001,-01)(001,-01)(001,-02)(001,-02)(001,-03)(000,-03)(000,-04)(000,-04)(-01,-05)(-01,-06)(-02,-06)(-02,-07)(-03,-08)(-03,-09)(-03,-10)(-04,-12)(-04,-13)(-05,-15)(-06,-17)(-06,-18)(-07,-20)(-08,-22)(-08,-24)(-09,-26)(-09,-28)(-10,-29)(-10,-31)(-10,-33)(-10,-35)(-10,-37)(-10,-39)(-10,-40)(-10,-42)(-09,-43)(-08,-45)(-07,-46)(-06,-47)(-05,-48)(-04,-48)(-02,-48)(-01,-48)(001,-48)(002,-47)(003,-47)(005,-46)(006,-45)(007,-45)(007,-44)(008,-43)(008,-43)(008,-42)(009,-41)(009,-40)(009,-39)(009,-38)(009,-37)(009,-36)(008,-36)(008,-37)(007,-38)(007,-39)(007,-41)(007,-42)(007,-44)(007,-46)(007,-47)(007,-48)(008,-49)(008,-50)(009,-51)(010,-51)(011,-51)(012,-51)(014,-51)(015,-50)(016,-50)(017,-50)(019,-50)(020,-49)(020,-49)(021,-49)(022,-49)(022,-49)(023,-48)(023,-47)(023,-47)(023,-46)(023,-46)(022,-46)(021,-46)(021,-47)(020,-47)(019,-48)(019,-50)(019,-51)(019,-52)(019,-52) |
Tue Dec 22 16:00:02 2009 |                      | 168 | (006,002)(006,002)(006,002)(006,002)(006,002)(006,002)(006,002)(006,002)(006,001)(006,001)(006,001)(006,001)(006,001)(006,001)(006,001)(006,001)(006,001)(006,001)(006,001)(006,001)(006,002)(007,002)(007,003)(008,003)(008,004)(009,005)(010,005)(011,006)(011,007)(012,007)(013,008)(014,009)(015,009)(017,010)(018,010)(019,011)(021,011)(022,012)(024,012)(026,012)(027,013)(029,013)(031,013)(033,014)(034,014)(036,014)(038,015)(040,015)(041,015)(043,015)(045,015)(046,015)(048,015)(050,015)(052,015)(053,015)(055,015)(056,014)(058,014)(059,013)(060,012)(062,011)(063,011)(064,010)(065,009)(065,007)(066,006)(067,005)(068,004)(068,002)(069,001)(070,000)(070,-02)(070,-03)(071,-04)(071,-06)(071,-07)(071,-09)(071,-11)(071,-12)(071,-14)(071,-15)(071,-16)(071,-18)(071,-19)(071,-20)(071,-20)(070,-21)(069,-21)(069,-22)(068,-22)(067,-22)(065,-23)(064,-23)(063,-23)(061,-23)(060,-23)(059,-23)(058,-23)(057,-23)(056,-23)(055,-22)(054,-22)(054,-21)(053,-20)(053,-19)(052,-18)(052,-17)(051,-16)(051,-14)(051,-12)(051,-11)(051,-09)(051,-07)(051,-06)(052,-04)(053,-03)(054,-02)(055,-01)(056,001)(057,001)(059,002)(060,003)(061,004)(063,004)(064,004)(066,004)(067,005)(069,005)(071,004)(072,004)(074,003)(075,003)(077,002)(079,001)(080,001)(082,000)(084,000)(086,000)(089,-01)(091,-01)(094,-01)(096,000)(099,001)(102,002)(104,003)(107,004)(109,006)(112,007)(114,009)(116,011)(119,012)(121,013)(122,015)(124,015)(126,016)(127,017)(128,017)(129,017)(130,018)(130,018)(131,018)(131,018)(130,018)(130,018)(129,018)(128,019)(128,019) |
Tue Dec 22 17:34:44 2009 |                      | 154 | (003,002)(003,002)(003,002)(003,002)(003,002)(003,002)(003,002)(003,002)(003,002)(003,002)(003,002)(003,002)(003,002)(003,002)(004,002)(004,002)(005,002)(005,002)(006,002)(006,003)(007,003)(008,004)(010,004)(011,005)(012,006)(014,006)(016,007)(017,008)(019,008)(021,009)(022,010)(024,010)(025,010)(026,011)(028,011)(029,011)(030,011)(031,012)(032,012)(033,012)(034,012)(036,012)(037,011)(038,010)(039,010)(040,009)(041,008)(042,007)(043,006)(045,005)(046,003)(047,002)(048,001)(049,000)(051,-01)(052,-02)(053,-04)(054,-05)(055,-06)(056,-07)(057,-08)(058,-09)(058,-10)(059,-11)(060,-12)(061,-13)(062,-14)(062,-15)(063,-15)(065,-16)(066,-17)(067,-17)(069,-18)(070,-18)(072,-18)(074,-18)(076,-17)(078,-17)(081,-16)(083,-15)(085,-14)(087,-12)(089,-11)(090,-10)(092,-08)(093,-07)(095,-05)(096,-03)(097,-02)(098,000)(100,002)(101,004)(102,006)(102,007)(103,009)(104,010)(105,011)(105,012)(105,013)(105,014)(105,014)(105,015)(105,016)(104,017)(104,018)(103,019)(102,019)(102,020)(101,020)(100,020)(099,019)(098,019)(097,018)(096,017)(095,016)(094,014)(093,013)(093,012)(092,011)(092,010)(092,009)(091,008)(091,007)(091,006)(091,005)(092,004)(092,003)(092,002)(093,002)(094,001)(095,001)(097,001)(098,002)(100,003)(103,004)(105,006)(108,007)(111,010)(113,012)(115,013)(117,015)(119,016)(120,017)(120,018)(121,018)(122,018)(122,018)(123,019)(124,019)(125,019)(125,020)(126,020)(127,021)(127,021) |
Wed Dec 30 16:50:54 2009 | l with two points    | 068 | (002,005)(002,005)(002,005)(002,004)(002,004)(002,004)(002,003)(002,002)(003,002)(003,001)(003,000)(004,000)(004,-01)(005,-02)(006,-03)(007,-03)(007,-04)(009,-05)(010,-05)(012,-06)(013,-06)(015,-07)(017,-07)(019,-08)(021,-08)(023,-09)(026,-09)(028,-09)(030,-10)(032,-10)(034,-11)(037,-11)(039,-11)(042,-11)(045,-11)(048,-12)(050,-12)(053,-11)(055,-11)(057,-11)(059,-10)(061,-09)(063,-08)(065,-07)(066,-06)(068,-05)(069,-04)(070,-03)(072,-02)(073,-01)(074,000)(075,001)(075,002)(076,002)(076,003)(076,-01)(076,-01)(076,-01)(077,000)(078,000)(078,000)(078,000)(078,000)(079,003)(079,003)(080,004)(080,004)(080,004) |
Wed Jan  6 22:58:34 2010 |                      | 033 | (000,000)(004,000)(010,-03)(014,-03)(018,-03)(023,-04)(027,-04)(032,-06)(036,-06)(041,-06)(045,-07)(049,-09)(053,-11)(058,-12)(062,-12)(066,-12)(070,-13)(074,-15)(079,-17)(083,-17)(087,-20)(090,-20)(094,-20)(098,-24)(102,-27)(107,-27)(111,-29)(115,-32)(119,-33)(123,-33)(127,-33)(133,-33)(133,-33) |
Thu Jan  7 10:20:32 2010 |                      | 107 | (000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,001)(000,001)(000,001)(000,001)(000,001)(000,001)(000,001)(000,001)(001,000)(000,-01)(000,-01)(000,-02)(000,-03)(000,-03)(000,-04)(000,-05)(-01,-05)(-01,-06)(-02,-07)(-02,-08)(-02,-09)(-02,-09)(-02,-10)(-03,-11)(-03,-11)(-03,-12)(-03,-12)(-03,-12)(-03,-12)(-03,-12)(-03,-11)(-02,-11)(-02,-11)(-01,-10)(-01,-09)(000,-08)(000,-08)(001,-07)(002,-06)(002,-05)(003,-05)(003,-04)(004,-04)(004,-03)(005,-03)(005,-03)(006,-03)(006,-03)(006,-04)(007,-04)(007,-05)(008,-05)(008,-06)(009,-06)(009,-06)(010,-06)(011,-07)(011,-07)(012,-08)(013,-08)(014,-08)(015,-08)(017,-08)(018,-08)(020,-08)(022,-08)(024,-08)(026,-07)(028,-06)(030,-05)(032,-04)(033,-03)(035,-01)(037,001)(038,002)(040,004)(041,005)(042,007)(043,008)(044,009)(044,010)(045,011)(045,011)(046,012)(046,012)(046,012)(046,012)(046,012)(046,012)(046,012)(046,012)(046,012)(045,012)(045,012)(045,012) |
Thu Jan  7 10:20:38 2010 |                      | 090 | (000,000)(001,000)(001,000)(001,000)(001,000)(001,000)(001,000)(001,000)(001,000)(001,000)(001,000)(001,000)(001,000)(001,000)(001,000)(001,000)(001,000)(001,000)(001,000)(000,-01)(000,-01)(000,-02)(000,-03)(000,-03)(-01,-04)(-01,-04)(-01,-05)(-02,-06)(-02,-07)(-02,-07)(-02,-08)(-02,-09)(-02,-09)(-02,-10)(-02,-11)(-02,-11)(-02,-11)(-02,-11)(-01,-11)(000,-11)(000,-10)(001,-09)(001,-09)(002,-08)(002,-07)(002,-07)(003,-06)(003,-05)(003,-04)(003,-04)(004,-03)(004,-02)(004,-02)(004,-02)(005,-02)(005,-03)(006,-03)(006,-03)(007,-03)(007,-04)(008,-04)(008,-04)(009,-04)(010,-05)(011,-05)(012,-05)(013,-05)(015,-05)(016,-05)(018,-05)(020,-05)(022,-05)(023,-04)(025,-04)(027,-02)(029,-01)(030,000)(032,002)(033,004)(035,005)(036,007)(037,009)(038,010)(038,011)(038,012)(038,013)(038,013)(038,013)(038,013)(038,013) |
Thu Jan  7 21:42:23 2010 |                      | 068 | (000,000)(000,000)(000,000)(000,-01)(000,-01)(000,-01)(000,-01)(000,-01)(000,-01)(000,-01)(000,-01)(000,-01)(000,-01)(000,000)(000,000)(001,000)(001,000)(002,001)(003,001)(003,002)(004,002)(005,003)(006,004)(008,005)(009,006)(010,007)(012,008)(014,009)(015,010)(017,010)(019,011)(020,012)(022,012)(023,012)(025,013)(027,013)(028,013)(029,012)(031,012)(032,011)(033,011)(034,010)(035,009)(036,009)(037,008)(038,007)(038,007)(039,006)(039,006)(040,005)(040,005)(041,004)(041,004)(041,003)(041,003)(042,003)(042,002)(042,002)(042,002)(042,002)(042,002)(042,002)(042,002)(042,002)(042,002)(042,002)(042,003)(042,003) |
Fri Jan  8 11:26:44 2010 |                      | 074 | (000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(001,001)(001,001)(002,001)(003,002)(003,002)(004,002)(004,002)(005,002)(006,003)(007,003)(007,003)(008,003)(009,004)(010,004)(011,004)(012,004)(013,004)(014,004)(015,004)(016,003)(017,003)(018,002)(018,002)(019,001)(020,000)(020,000)(020,-01)(021,-01)(021,-02)(021,-03)(022,-03)(022,-04)(023,-05)(023,-05)(023,-06)(023,-06)(024,-05)(024,-05)(024,-05)(024,-05)(023,-05)(023,-05)(022,-06)(022,-06)(022,-06) |
