Mon Apr 19 23:24:10 2010 |                      |                                | 009 | (+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000) |
Mon Apr 19 23:24:11 2010 |                      |                                | 046 | (+000,+000)(+000,+000)(+001,+000)(+001,+000)(+001,+000)(+002,+000)(+002,+000)(+003,+000)(+004,+000)(+005,+000)(+006,+000)(+007,+001)(+008,+001)(+009,+002)(+011,+002)(+012,+003)(+013,+003)(+014,+004)(+016,+005)(+017,+006)(+018,+007)(+019,+007)(+020,+008)(+021,+009)(+022,+011)(+023,+012)(+024,+013)(+025,+015)(+025,+017)(+026,+018)(+026,+020)(+027,+022)(+027,+024)(+027,+025)(+027,+026)(+027,+027)(+027,+027)(+028,+028)(+031,+028)(+031,+028)(+031,+028)(+031,+028)(+031,+027)(+031,+027)(+026,+027)(+026,+027) |
Mon Apr 19 23:24:14 2010 |                      |                                | 063 | (+000,+000)(+000,+000)(+000,+000)(+000,+001)(+000,+001)(+000,+001)(+000,+001)(+000,+002)(+000,+002)(+000,+002)(-001,+002)(-001,+002)(-001,+002)(-002,+003)(-002,+003)(-002,+003)(-002,+003)(-003,+004)(-003,+004)(-003,+005)(-003,+006)(-004,+006)(-004,+007)(-004,+008)(-004,+009)(-004,+010)(-004,+011)(-004,+012)(-003,+014)(-003,+015)(-002,+016)(-001,+018)(+000,+019)(+001,+021)(+002,+023)(+003,+024)(+005,+026)(+006,+028)(+008,+029)(+009,+030)(+010,+032)(+012,+033)(+013,+034)(+015,+034)(+017,+035)(+018,+035)(+019,+036)(+021,+036)(+022,+036)(+023,+036)(+024,+036)(+025,+037)(+026,+037)(+027,+037)(+027,+037)(+028,+037)(+028,+037)(+028,+037)(+028,+037)(+028,+037)(+028,+037)(+027,+037)(+027,+037) |
Mon Apr 19 23:24:17 2010 |                      |                                | 053 | (+000,+000)(+000,+000)(+000,-001)(+000,-001)(+000,-001)(+000,-001)(+000,-001)(+000,-001)(+000,-001)(-001,+000)(-001,+000)(-001,+000)(-001,+000)(-001,+001)(-001,+002)(+000,+003)(+000,+004)(+001,+006)(+001,+007)(+002,+009)(+003,+011)(+006,+016)(+008,+018)(+010,+021)(+013,+023)(+015,+026)(+018,+028)(+020,+031)(+023,+033)(+026,+035)(+028,+036)(+031,+038)(+033,+039)(+034,+039)(+036,+039)(+037,+039)(+038,+039)(+039,+039)(+040,+038)(+040,+038)(+040,+037)(+040,+037)(+041,+036)(+041,+036)(+042,+035)(+042,+035)(+042,+035)(+042,+035)(+042,+035)(+042,+035)(+042,+035)(+041,+035)(+041,+035) |
Mon Apr 19 23:24:19 2010 |                      |                                | 052 | (+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(+001,+000)(+001,+000)(+001,+000)(+002,+000)(+002,+000)(+003,+000)(+004,+000)(+005,+000)(+006,+000)(+008,+001)(+009,+001)(+011,+002)(+013,+003)(+015,+004)(+018,+005)(+020,+006)(+022,+007)(+024,+008)(+026,+009)(+028,+011)(+029,+012)(+031,+013)(+032,+015)(+033,+016)(+034,+017)(+034,+018)(+035,+019)(+035,+020)(+035,+020)(+035,+021)(+035,+021)(+035,+022)(+035,+023)(+035,+023)(+035,+022)(+035,+022)(+035,+022)(+035,+022)(+035,+021)(+035,+020)(+035,+020)(+035,+019)(+035,+019) |
Mon Apr 19 23:24:20 2010 |                      |                                | 046 | (+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+001)(+000,+001)(+001,+001)(+001,+001)(+002,+002)(+003,+002)(+004,+003)(+005,+004)(+006,+004)(+008,+005)(+009,+006)(+011,+008)(+013,+009)(+015,+011)(+017,+013)(+018,+014)(+020,+016)(+022,+018)(+023,+020)(+025,+021)(+027,+024)(+027,+025)(+028,+026)(+028,+027)(+028,+028)(+028,+028)(+028,+029)(+028,+030)(+027,+030)(+027,+030)(+027,+030)(+027,+030)(+027,+030)(+027,+030)(+027,+030)(+028,+029)(+028,+028)(+028,+027)(+028,+027) |
Mon Apr 19 23:24:21 2010 |                      |                                | 044 | (+000,+000)(+000,+000)(+000,+001)(+000,+002)(+000,+003)(+000,+004)(+000,+005)(+001,+006)(+001,+008)(+002,+009)(+002,+010)(+003,+011)(+003,+013)(+004,+014)(+005,+016)(+006,+018)(+008,+020)(+010,+021)(+012,+023)(+014,+025)(+017,+027)(+019,+029)(+022,+030)(+025,+031)(+027,+032)(+029,+033)(+032,+033)(+034,+033)(+035,+033)(+037,+033)(+038,+033)(+039,+033)(+039,+033)(+040,+033)(+040,+033)(+040,+033)(+040,+032)(+040,+032)(+040,+032)(+040,+032)(+040,+031)(+040,+031)(+040,+031)(+040,+031) |
Tue Apr 20 18:44:20 2010 |                      |                                | 100 | (+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+001)(+000,+001)(+000,+001)(+000,+001)(+000,+001)(+000,+001)(+000,+001)(+000,+002)(+000,+002)(+000,+002)(+000,+002)(+000,+002)(+000,+002)(+000,+002)(+000,+002)(+000,+002)(+000,+002)(+001,+001)(+001,+001)(+002,+001)(+002,+000)(+003,+000)(+004,+000)(+004,+000)(+005,-001)(+006,-001)(+008,-002)(+009,-002)(+010,-002)(+012,-002)(+014,-002)(+015,-002)(+017,-002)(+019,-003)(+020,-003)(+022,-003)(+023,-002)(+024,-002)(+025,-002)(+026,-002)(+027,-001)(+027,-001)(+028,+000)(+028,+000)(+029,+001)(+029,+001)(+029,+002)(+029,+002)(+029,+002)(+029,+002)(+029,+001)(+029,+001)(+029,+001)(+030,+000)(+030,-001)(+030,-001)(+031,-002)(+032,-002)(+032,-003)(+033,-003)(+035,-003)(+036,-004)(+037,-004)(+039,-004)(+041,-004)(+043,-004)(+045,-004)(+048,-003)(+050,-003)(+053,-003)(+056,-002)(+059,-002)(+061,-001)(+064,-001)(+066,+000)(+068,+001)(+070,+002)(+072,+003)(+073,+003)(+074,+004)(+076,+005)(+077,+005)(+077,+006)(+078,+006)(+079,+006)(+080,+006)(+080,+007)(+080,+007)(+081,+007)(+081,+007)(+081,+007)(+080,+007)(+080,+007)(+079,+008)(+079,+008)(+079,+008) |
Tue Apr 20 18:44:23 2010 |                      |                                | 090 | (+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(+001,-001)(+001,-001)(+001,-002)(+002,-002)(+003,-003)(+003,-004)(+004,-004)(+005,-005)(+007,-005)(+008,-005)(+010,-006)(+012,-006)(+013,-006)(+015,-006)(+017,-006)(+019,-005)(+020,-005)(+022,-005)(+023,-004)(+024,-003)(+025,-003)(+025,-002)(+026,-001)(+027,+000)(+027,+001)(+027,+002)(+027,+003)(+027,+004)(+027,+004)(+027,+005)(+028,+004)(+028,+004)(+028,+003)(+029,+002)(+029,+001)(+030,+001)(+030,+000)(+031,-001)(+031,-001)(+032,-002)(+033,-002)(+033,-002)(+034,-003)(+034,-003)(+035,-004)(+036,-005)(+038,-005)(+039,-006)(+041,-007)(+044,-007)(+046,-008)(+049,-008)(+051,-008)(+054,-007)(+057,-006)(+059,-005)(+061,-004)(+063,-002)(+065,-001)(+066,+000)(+067,+002)(+068,+003)(+069,+004)(+070,+005)(+070,+005)(+070,+006)(+071,+006)(+071,+006)(+071,+006)(+071,+006)(+070,+007)(+070,+007)(+070,+007)(+070,+007)(+069,+007)(+069,+007) |
Tue Apr 20 18:44:26 2010 |                      |                                | 098 | (+000,+000)(+000,+000)(+000,+000)(+000,+000)(-001,+000)(-001,+000)(-001,+000)(-001,+000)(-001,+000)(-001,+000)(-001,+000)(-001,+000)(-001,+000)(-001,+000)(-001,+000)(-001,+000)(-001,+000)(-001,+000)(-001,+000)(-001,+000)(-001,+000)(+000,+001)(+000,+001)(+001,+002)(+002,+002)(+002,+003)(+003,+003)(+003,+003)(+004,+004)(+005,+004)(+005,+005)(+006,+005)(+007,+006)(+008,+006)(+009,+007)(+010,+007)(+011,+008)(+013,+008)(+014,+008)(+015,+008)(+017,+008)(+018,+009)(+019,+009)(+020,+009)(+021,+008)(+022,+008)(+023,+008)(+023,+007)(+024,+006)(+025,+006)(+026,+005)(+027,+004)(+028,+004)(+029,+003)(+030,+002)(+031,+002)(+031,+001)(+032,+000)(+033,-001)(+034,-002)(+035,-003)(+035,-004)(+036,-005)(+037,-006)(+038,-007)(+039,-008)(+041,-009)(+042,-009)(+044,-010)(+045,-010)(+047,-010)(+049,-010)(+051,-010)(+053,-010)(+055,-009)(+057,-008)(+060,-008)(+062,-007)(+064,-006)(+066,-006)(+068,-005)(+069,-004)(+071,-003)(+072,-002)(+074,-001)(+075,+000)(+076,+001)(+076,+002)(+077,+003)(+077,+003)(+077,+003)(+077,+004)(+076,+004)(+076,+003)(+075,+003)(+075,+002)(+074,+002)(+074,+002) |
Tue Apr 20 18:44:28 2010 |                      |                                | 088 | (+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(+001,+001)(+001,+001)(+001,+001)(+001,+001)(+002,+002)(+002,+002)(+002,+003)(+003,+003)(+003,+004)(+004,+004)(+005,+005)(+005,+005)(+006,+006)(+007,+006)(+009,+007)(+010,+007)(+012,+007)(+013,+008)(+015,+008)(+017,+008)(+018,+008)(+020,+007)(+021,+007)(+022,+006)(+022,+005)(+023,+004)(+023,+004)(+023,+003)(+023,+002)(+023,+002)(+023,+001)(+024,+001)(+025,+001)(+025,+000)(+026,+000)(+027,+001)(+027,+001)(+028,+001)(+028,+001)(+029,+002)(+030,+002)(+031,+003)(+032,+003)(+033,+003)(+034,+004)(+036,+004)(+038,+005)(+040,+005)(+042,+005)(+045,+005)(+047,+005)(+050,+005)(+052,+004)(+055,+004)(+058,+003)(+060,+002)(+063,+002)(+065,+001)(+067,+000)(+068,-001)(+070,-001)(+071,-002)(+072,-002)(+073,-003)(+073,-004)(+073,-004)(+073,-005)(+073,-006)(+072,-006)(+072,-007)(+072,-007)(+071,-008)(+071,-008)(+071,-008)(+071,-008)(+072,-008)(+072,-008)(+073,-007)(+073,-007)(+073,-007) |
Tue Apr 20 18:44:32 2010 |                      |                                | 097 | (+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(+000,+000)(-001,+000)(-001,+000)(-001,+000)(-002,+000)(-002,+000)(-002,-001)(-002,-001)(-002,-001)(-003,-001)(-003,-001)(-003,-001)(-003,-001)(-003,-001)(-003,+000)(-002,+000)(-002,+001)(-002,+002)(-001,+002)(-001,+003)(+000,+004)(+000,+005)(+001,+005)(+002,+006)(+003,+007)(+004,+008)(+005,+009)(+006,+009)(+008,+010)(+010,+011)(+011,+011)(+013,+011)(+015,+011)(+016,+011)(+018,+010)(+019,+009)(+021,+009)(+022,+008)(+023,+007)(+023,+006)(+024,+006)(+024,+005)(+024,+004)(+024,+004)(+025,+004)(+025,+004)(+026,+004)(+027,+005)(+027,+005)(+028,+005)(+028,+006)(+029,+006)(+030,+007)(+031,+007)(+032,+008)(+033,+008)(+035,+009)(+036,+009)(+038,+010)(+040,+010)(+042,+010)(+044,+011)(+046,+011)(+049,+011)(+051,+011)(+054,+011)(+056,+011)(+059,+011)(+061,+010)(+062,+010)(+064,+009)(+065,+008)(+066,+007)(+066,+006)(+067,+006)(+067,+005)(+067,+004)(+067,+003)(+067,+002)(+067,+002)(+067,+001)(+067,+001)(+067,+001)(+068,+001)(+068,+001)(+068,+001)(+068,+001)(+069,+001)(+069,+001) |
