11.03.16.18.08.03    |                      |                                | 033 | (+000,+000)(+000,+000)(+000,+000)(-001,+000)(+000,+000)(+001,+001)(+002,+001)(+004,+001)(+006,+001)(+009,+001)(+012,+001)(+015,+001)(+019,+001)(+023,+001)(+027,+001)(+031,+001)(+035,+001)(+039,+001)(+042,+000)(+045,+000)(+048,+000)(+051,+000)(+052,-001)(+054,-001)(+055,-002)(+056,-003)(+057,-004)(+058,-005)(+059,-005)(+060,-005)(+061,-005)(+061,-004)(+061,-004) |
11.03.16.18.09.54    |                      |                                | 111 | (+000,+000)(+000,+000)(+000,+000)(+001,+000)(+002,+000)(+003,+000)(+004,+000)(+005,+000)(+006,+001)(+007,+001)(+008,+002)(+010,+002)(+011,+002)(+013,+002)(+014,+002)(+016,+002)(+017,+002)(+019,+001)(+020,+001)(+021,+001)(+022,+000)(+024,+000)(+025,+000)(+026,+000)(+027,+000)(+028,+000)(+029,-001)(+030,-001)(+030,-002)(+031,-002)(+032,-003)(+032,-004)(+033,-005)(+033,-006)(+033,-007)(+033,-008)(+033,-009)(+033,-010)(+033,-011)(+032,-012)(+032,-013)(+031,-014)(+030,-014)(+029,-015)(+028,-016)(+027,-017)(+026,-018)(+025,-019)(+024,-019)(+023,-020)(+022,-021)(+021,-022)(+020,-022)(+019,-022)(+018,-022)(+017,-022)(+016,-022)(+016,-021)(+015,-021)(+014,-020)(+014,-019)(+013,-019)(+013,-018)(+012,-017)(+012,-016)(+011,-015)(+011,-014)(+011,-013)(+011,-012)(+011,-011)(+011,-010)(+011,-009)(+011,-008)(+011,-007)(+011,-006)(+011,-005)(+012,-005)(+013,-004)(+014,-003)(+015,-003)(+016,-002)(+017,-002)(+018,-001)(+020,-001)(+021,+000)(+023,+000)(+025,+000)(+026,+000)(+028,+001)(+030,+001)(+032,+002)(+035,+002)(+037,+002)(+039,+002)(+042,+002)(+044,+001)(+047,+001)(+050,+001)(+052,+001)(+055,+001)(+057,+001)(+060,+001)(+062,+001)(+064,+001)(+065,+001)(+067,+001)(+068,+001)(+069,+001)(+070,+001)(+069,+001)(+069,+001) |
11.03.16.19.50.23    |                      |                                | 056 | (+000,+000)(+000,+000)(+000,+000)(+000,-001)(-001,-002)(-001,-003)(-002,-004)(-002,-005)(-003,-007)(-003,-008)(-004,-010)(-005,-011)(-006,-012)(-006,-014)(-007,-015)(-008,-015)(-008,-016)(-008,-017)(-008,-016)(-007,-016)(-007,-016)(-008,-022)(-008,-022)(-008,-022)(-008,-023)(-007,-023)(-006,-023)(-005,-023)(-004,-023)(-003,-023)(-002,-023)(+000,-023)(+002,-023)(+003,-023)(+006,-022)(+008,-021)(+011,-020)(+013,-019)(+016,-018)(+019,-016)(+022,-014)(+025,-012)(+027,-009)(+030,-007)(+032,-005)(+035,-002)(+036,+000)(+038,+002)(+039,+004)(+040,+005)(+040,+006)(+040,+007)(+039,+008)(+038,+008)(+037,+008)(+037,+008) |
11.03.17.15.42.10    |                      |                                | 032 | (+000,+000)(+000,+000)(-001,+000)(-001,+001)(+000,+002)(+001,+002)(+002,+002)(+004,+003)(+006,+003)(+009,+003)(+011,+004)(+014,+004)(+018,+004)(+021,+004)(+025,+004)(+028,+003)(+032,+003)(+035,+002)(+038,+001)(+041,+001)(+044,-001)(+046,-002)(+048,-003)(+050,-004)(+051,-004)(+052,-005)(+053,-006)(+054,-006)(+054,-007)(+053,-007)(+052,-006)(+052,-006) |
11.03.17.15.44.24    |                      |                                | 044 | (+000,+000)(+000,+000)(+000,+000)(-001,+000)(+000,+000)(+000,+001)(+001,+002)(+002,+002)(+003,+002)(+003,+003)(+004,+003)(+005,+004)(+006,+004)(+007,+004)(+009,+004)(+010,+005)(+012,+005)(+014,+005)(+017,+005)(+019,+005)(+022,+005)(+025,+005)(+028,+005)(+031,+004)(+034,+004)(+037,+004)(+040,+003)(+043,+002)(+046,+002)(+048,+002)(+050,+001)(+053,+001)(+054,+001)(+056,+001)(+057,+001)(+059,+001)(+060,+001)(+060,+000)(+059,+000)(+058,+000)(+058,-001)(+057,-001)(+056,-001)(+056,-001) |
11.03.17.15.54.29    |                      |                                | 123 | (+000,+000)(+000,+000)(+000,+001)(+000,+002)(+001,+002)(+002,+001)(+003,+001)(+003,+000)(+004,-001)(+005,-002)(+006,-003)(+007,-005)(+008,-006)(+009,-008)(+010,-009)(+010,-011)(+011,-012)(+011,-014)(+011,-015)(+011,-017)(+010,-019)(+010,-020)(+009,-022)(+008,-023)(+007,-025)(+006,-027)(+004,-028)(+003,-029)(+002,-031)(+000,-032)(-001,-032)(-002,-033)(-003,-033)(-004,-033)(-006,-033)(-007,-032)(-008,-032)(-009,-031)(-010,-030)(-011,-029)(-012,-028)(-013,-027)(-013,-026)(-014,-025)(-014,-024)(-014,-022)(-014,-021)(-014,-020)(-013,-019)(-013,-017)(-012,-016)(-012,-014)(-011,-013)(-010,-011)(-010,-009)(-009,-008)(-008,-006)(-006,-004)(-005,-003)(-004,-001)(-003,+000)(-001,+002)(+000,+003)(+002,+004)(+003,+005)(+005,+006)(+007,+008)(+009,+009)(+011,+010)(+013,+011)(+016,+011)(+018,+012)(+021,+013)(+024,+013)(+027,+014)(+029,+014)(+032,+014)(+035,+014)(+037,+014)(+040,+013)(+042,+013)(+045,+012)(+047,+012)(+049,+011)(+050,+010)(+052,+009)(+054,+008)(+055,+006)(+056,+005)(+058,+004)(+059,+003)(+060,+002)(+060,+000)(+061,-001)(+062,-002)(+062,-003)(+062,-004)(+062,-005)(+062,-006)(+062,-007)(+062,-006)(+062,-005)(+063,-004)(+064,-003)(+064,-002)(+065,-001)(+066,+000)(+067,+001)(+068,+001)(+069,+002)(+070,+003)(+071,+004)(+073,+005)(+074,+007)(+075,+008)(+076,+009)(+077,+009)(+078,+010)(+079,+011)(+079,+012)(+078,+012)(+077,+012)(+077,+012) |
11.03.17.16.12.08    |                      |                                | 034 | (+000,+000)(+000,+000)(+000,+000)(-001,+000)(-002,+000)(-003,+000)(-003,-001)(-003,-002)(-003,-003)(-002,-004)(-002,-005)(-001,-005)(-001,-006)(+000,-006)(+001,-006)(+002,-006)(+003,-006)(+004,-006)(+006,-006)(+007,-006)(+008,-005)(+009,-004)(+011,-004)(+012,-003)(+012,-002)(+013,-001)(+013,+000)(+013,+001)(+013,+002)(+013,+003)(+012,+003)(+012,+002)(+012,+001)(+012,+001) |
11.03.17.19.15.25    |                      |                                | 067 | (+000,+000)(+000,+000)(+000,+000)(+000,+001)(+001,+002)(+002,+003)(+003,+003)(+004,+004)(+005,+004)(+006,+004)(+007,+004)(+008,+005)(+010,+005)(+011,+005)(+012,+006)(+013,+006)(+015,+006)(+016,+006)(+017,+006)(+018,+006)(+019,+006)(+020,+006)(+021,+006)(+022,+005)(+023,+005)(+024,+004)(+025,+003)(+026,+003)(+027,+002)(+028,+001)(+029,+000)(+030,-001)(+031,-002)(+031,-003)(+032,-004)(+033,-006)(+033,-007)(+033,-008)(+033,-010)(+033,-012)(+033,-014)(+033,-016)(+032,-018)(+031,-020)(+031,-022)(+030,-024)(+029,-026)(+028,-027)(+027,-029)(+027,-030)(+026,-031)(+025,-032)(+024,-033)(+023,-033)(+021,-034)(+020,-035)(+019,-035)(+018,-036)(+017,-036)(+016,-037)(+015,-038)(+014,-038)(+013,-038)(+014,-038)(+014,-037)(+014,-036)(+014,-036) |
11.03.17.19.28.14    |                      |                                | 051 | (+000,+000)(+000,+000)(+000,+000)(-001,+000)(-002,-001)(-003,-002)(-003,-003)(-004,-003)(-005,-004)(-005,-005)(-006,-006)(-007,-007)(-007,-008)(-008,-009)(-008,-010)(-008,-012)(-008,-013)(-009,-014)(-009,-016)(-009,-018)(-008,-019)(-008,-021)(-008,-022)(-007,-024)(-006,-025)(-006,-027)(-005,-028)(-004,-030)(-003,-031)(-002,-032)(-001,-033)(+000,-035)(+001,-036)(+003,-036)(+005,-037)(+007,-037)(+010,-037)(+012,-037)(+015,-037)(+017,-036)(+019,-035)(+021,-035)(+023,-034)(+024,-033)(+026,-032)(+026,-031)(+027,-030)(+028,-030)(+028,-029)(+028,-028)(+028,-028) |
11.03.17.19.31.36    |                      |                                | 084 | (+000,+000)(+000,+000)(-001,+000)(-002,-001)(-003,-002)(-003,-003)(-004,-004)(-004,-005)(-005,-006)(-005,-007)(-006,-008)(-007,-009)(-007,-010)(-008,-011)(-009,-012)(-010,-013)(-010,-015)(-011,-016)(-011,-018)(-011,-019)(-011,-021)(-012,-022)(-012,-024)(-011,-025)(-011,-027)(-011,-029)(-010,-030)(-010,-032)(-009,-034)(-009,-035)(-008,-037)(-007,-039)(-007,-040)(-006,-042)(-005,-043)(-003,-045)(-002,-046)(-001,-048)(+001,-049)(+002,-050)(+004,-051)(+005,-052)(+007,-053)(+009,-054)(+010,-055)(+012,-055)(+014,-056)(+016,-056)(+019,-056)(+021,-056)(+023,-057)(+025,-057)(+028,-057)(+030,-056)(+032,-056)(+034,-055)(+036,-055)(+039,-054)(+041,-053)(+043,-052)(+045,-050)(+047,-049)(+049,-048)(+051,-046)(+053,-045)(+054,-043)(+056,-042)(+057,-041)(+059,-040)(+060,-039)(+061,-038)(+063,-037)(+064,-036)(+065,-035)(+066,-034)(+066,-033)(+067,-033)(+067,-032)(+066,-032)(+065,-032)(+065,-033)(+064,-034)(+064,-035)(+064,-035) |
